City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Uzhur,RU,55.3036,89.8339,41.4,41,6,6.08,clear sky
265,Mokrous,RU,51.2333,47.5167,56.39,39,100,14.7,overcast clouds
266,Klaeng,TH,12.7797,101.6483,79.7,80,100,6.06,overcast clouds
267,Abu Dhabi,AE,24.4667,54.3667,89.62,48,1,10.36,dust
268,Tabuk,SA,28.3833,36.5833,68.02,28,0,4.61,clear sky
269,Durant,US,33.994,-96.3708,69.53,52,0,0.0,clear sky
270,Tananger,NO,58.9333,5.6,55.38,85,75,11.5,broken clouds
271,Maricá,BR,-22.9194,-42.8186,69.71,90,100,5.01,overcast clouds
272,Husavik,IS,66.0449,-17.3389,44.46,95,97,11.86,overcast clouds
273,Zaigrayevo,RU,51.8336,108.2703,39.04,46,100,10.58,overcast clouds
274,Portland,AU,-38.3333,141.6,54.28,71,100,17.25,light rain
275,Tuatapere,NZ,-46.1333,167.6833,43.12,95,100,11.72,overcast clouds
276,Bengkulu,ID,-3.8004,102.2655,81.93,75,100,8.37,overcast clouds
277,Katsuura,JP,35.1333,140.3,80.62,69,49,21.21,scattered clouds
278,Keetmanshoop,NA,-26.5833,18.1333,57.74,52,0,2.48,clear sky
279,São Filipe,CV,14.8961,-24.4956,78.4,80,100,8.05,light rain
280,Guozhen,CN,34.3659,107.359,55.99,86,100,3.96,overcast clouds
281,Selty,RU,57.3132,52.1345,48.7,55,93,8.68,overcast clouds
282,Kiunga,PG,-6.1219,141.2906,90.63,57,92,3.76,overcast clouds
283,Te Anau,NZ,-45.4167,167.7167,44.29,95,100,3.96,overcast clouds
284,Vanimo,PG,-2.6741,141.3028,87.03,63,77,8.75,broken clouds
285,Tahe,CN,52.3333,124.7333,37.4,33,52,11.03,broken clouds
286,Puerto Maldonado,PE,-12.6,-69.1833,71.96,94,46,2.33,scattered clouds
287,Matadi,CD,-5.8167,13.45,75.4,84,91,2.73,overcast clouds
288,Ipixuna,BR,-1.7625,-48.8043,72.82,97,23,2.04,few clouds
289,Karratha,AU,-20.7377,116.8463,82.92,36,0,13.4,clear sky
290,Broken Hill,AU,-31.95,141.4333,82.69,26,97,19.82,overcast clouds
291,Soyo,AO,-6.1349,12.3689,73.85,89,41,2.37,scattered clouds
292,Camabatela,AO,-8.1881,15.375,61.75,96,95,1.9,overcast clouds
293,Seoul,KR,37.5683,126.9778,67.57,75,40,10.36,light rain
294,Saint-Joseph,RE,-21.3667,55.6167,75.58,71,25,9.46,scattered clouds
295,Kyra,RU,49.5776,111.9753,38.91,29,69,6.76,broken clouds
296,Rosarito,MX,32.3333,-117.0333,67.24,81,11,5.79,few clouds
297,Papalotla,MX,19.1625,-98.2042,52.61,77,25,4.27,scattered clouds
298,Fountain Hills,US,33.6117,-111.7174,81.07,46,25,5.99,scattered clouds
299,Huntington,US,38.4193,-82.4452,45.88,94,24,3.69,few clouds
300,Soe,ID,-9.8607,124.284,78.62,67,72,4.97,broken clouds
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,71,40,11.18,scattered clouds
302,Yaroslavskiy,RU,44.1683,132.2072,48.45,35,55,18.43,broken clouds
303,Zhigalovo,RU,54.8097,105.1578,35.29,53,90,3.74,overcast clouds
304,Atar,MR,20.5169,-13.0499,87.98,34,73,6.62,broken clouds
305,East London,ZA,-33.0153,27.9116,61.74,63,0,9.22,clear sky
306,Cherskiy,RU,68.75,161.3,28.96,72,100,8.21,overcast clouds
307,Bedelē,ET,8.456,36.353,53.92,99,100,1.14,light rain
308,Berbera,SO,10.4396,45.0143,88.74,60,6,2.62,clear sky
309,Port-Gentil,GA,-0.7193,8.7815,77.27,82,100,9.98,light rain
310,Beyla,GN,8.6833,-8.6333,66.42,97,60,0.56,broken clouds
311,Vestmannaeyjar,IS,63.4427,-20.2734,49.44,77,100,17.13,overcast clouds
312,Kenora,CA,49.8167,-94.4337,59.97,77,75,4.61,broken clouds
313,Huarmey,PE,-10.0681,-78.1522,61.74,87,48,9.17,scattered clouds
314,Bilibino,RU,68.0546,166.4372,25.11,79,98,2.28,overcast clouds
315,Dvinskoy,RU,62.1535,45.1175,49.48,95,100,6.62,overcast clouds
316,Kargil,IN,34.5667,76.1,48.0,34,9,1.88,clear sky
317,Praia da Vitória,PT,38.7333,-27.0667,67.75,94,20,4.59,few clouds
